date	day	away	home	opening_spread	away_ML	home_ML	away_pts	home_pts	result	result_diff
20171017	0	Boston	Cleveland	-3.0	155	-175	99	102	-3	0.0
20171017	0	Houston	Golden State	-9.0	385	-485	122	121	1	10.0
20171018	1	Brooklyn	Indiana	-3.5	145	-165	131	140	-9	-5.5
20171018	1	Miami	Orlando	3.0	-150	130	109	116	-7	-10.0
20171018	1	Milwaukee	Boston	-5.5	205	-245	108	100	8	13.5
20171018	1	Atlanta	Dallas	-6.5	220	-260	117	111	6	12.5
20171018	1	Minnesota	San Antonio	-1.0	105	-125	99	107	-8	-7.0
20171018	1	Philadelphia	Washington	-7.0	255	-310	115	120	-5	2.0
20171018	1	Charlotte	Detroit	-3.0	145	-165	90	102	-12	-9.0
20171018	1	New Orleans	Memphis	-3.0	135	-155	91	103	-12	-9.0
20171018	1	Denver	Utah	-2.0	110	-130	96	106	-10	-8.0
20171018	1	Houston	Sacramento	8.5	-360	300	105	100	5	-3.5
20171018	1	Portland	Phoenix	1.0	-123	103	124	76	48	47.0
20171019	2	Chicago	Toronto	-11.0	750	-950	100	117	-17	-6.0
20171019	2	New York	Oklahoma City	-11.0	575	-850	84	105	-21	-10.0
20171019	2	L.A. Clippers	L.A. Lakers	4.5	-195	180	108	92	16	11.5
20171020	3	Boston	Philadelphia	1.0	105	-125	102	92	10	9.0
20171020	3	Detroit	Washington	-6.5	200	-240	111	115	-4	2.5
20171020	3	Portland	Indiana	3.5	-165	145	114	96	18	14.5
20171020	3	Utah	Minnesota	-5.5	165	-190	97	100	-3	2.5
20171020	3	Golden State	New Orleans	6.5	-320	260	128	120	8	1.5
20171020	3	Atlanta	Charlotte	-6.0	200	-240	91	109	-18	-12.0
20171020	3	Cleveland	Milwaukee	1.5	-135	115	116	97	19	17.5
20171020	3	Orlando	Brooklyn	-1.5	105	-125	121	126	-5	-3.5
20171020	3	Sacramento	Dallas	-5.5	180	-220	93	88	5	10.5
20171020	3	L.A. Lakers	Phoenix	-3.0	130	-150	132	130	2	5.0
20171021	4	Philadelphia	Toronto	-7.5	415	-525	94	128	-34	-26.5
20171021	4	Dallas	Houston	-10.5	700	-1100	91	107	-16	-5.5
20171021	4	Indiana	Miami	-8.5	425	-550	108	112	-4	4.5
20171021	4	Golden State	Memphis	7.5	-440	350	101	111	-10	-17.5
20171021	4	Sacramento	Denver	-11.0	500	-700	79	96	-17	-6.0
20171021	4	Orlando	Cleveland	-11.0	600	-900	114	93	21	32.0
20171021	4	Detroit	New York	1.5	-125	105	111	107	4	2.5
20171021	4	San Antonio	Chicago	8.0	-550	425	87	77	10	2.0
20171021	4	Portland	Milwaukee	-4.5	145	-165	110	113	-3	1.5
