date	away	home	opening_spread	away_ML	home_ML
20171017	Boston	Cleveland	-3	+155	-175
20171017	Houston	Golden State	-9	+385	-485
20171018	Brooklyn	Indiana	-3.5	+145	-165
20171018	Miami	Orlando	+3	-150	+130
20171018	Milwaukee	Boston	-5.5	+205	-245
20171018	Atlanta	Dallas	-6.5	+220	-260
20171018	Minnesota	San Antonio	-1	+105	-125
20171018	Philadelphia	Washington	-7	+255	-310
20171018	Charlotte	Detroit	-3	+145	-165
20171018	New Orleans	Memphis	-3	+135	-155
20171018	Denver	Utah	-2	+110	-130
20171018	Houston	Sacramento	+8.5	-360	+300
20171018	Portland	Phoenix	+1	-123	+103
20171019	Chicago	Toronto	-11	+750	-950
20171019	New York	Oklahoma City	-11	+575	-850
20171019	L.A. Clippers	L.A. Lakers	+4.5	-195	+180
20171020	Boston	Philadelphia	+1	+105	-125
20171020	Detroit	Washington	-6.5	+200	-240
20171020	Portland	Indiana	+3.5	-165	+145
20171020	Utah	Minnesota	-5.5	+165	-190
20171020	Golden State	New Orleans	+6.5	-320	+260
20171020	Atlanta	Charlotte	-6	+200	-240
20171020	Cleveland	Milwaukee	+1.5	-135	+115
20171020	Orlando	Brooklyn	-1.5	+105	-125
20171020	Sacramento	Dallas	-5.5	+180	-220
20171020	L.A. Lakers	Phoenix	-3	+130	-150
20171021	Philadelphia	Toronto	-7.5	+415	-525
20171021	Dallas	Houston	-10.5	+700	-1100
20171021	Indiana	Miami	-8.5	+425	-550
20171021	Golden State	Memphis	+7.5	-440	+350
20171021	Sacramento	Denver	-11	+500	-700
20171021	Orlando	Cleveland	-11	+600	-900
20171021	Detroit	New York	+1.5	-125	+105
20171021	San Antonio	Chicago	+8	-550	+425
20171021	Portland	Milwaukee	-4.5	+145	-165
20171021	Oklahoma City	Utah	+4	-210	+175
20171021	Phoenix	L.A. Clippers	-11.5	+800	-1250
20171022	Atlanta	Brooklyn	-2.5	+125	-135
20171022	Minnesota	Oklahoma City	-4.5	+165	-175
20171022	New Orleans	L.A. Lakers	+4	-175	+155
20171023	Philadelphia	Detroit	-4.5	+145	-155
20171023	Memphis	Houston	-8	+250	-300
20171023	Golden State	Dallas	+10.5	-750	+600
20171023	Washington	Denver	-3.5	+135	-145
20171023	Atlanta	Miami	-9	+500	-700
20171023	Charlotte	Milwaukee	-6	+235	-255
20171023	Toronto	San Antonio	-2.5	+135	-145
20171023	Sacramento	Phoenix	-2	+110	-120
20171024	Brooklyn	Orlando	-3.5	+160	-185
20171024	New York	Boston	-9	+310	-370
20171024	New Orleans	Portland	-4.5	+173	-205
20171024	Chicago	Cleveland	-14	+1000	-1500
20171024	Indiana	Minnesota	-11	+525	-750
20171024	Utah	L.A. Clippers	-3.5	+165	-190
20171025	Minnesota	Detroit	+1.5	-118	+108
20171025	Denver	Charlotte	+1.5	-125	+105
20171025	San Antonio	Miami	+3.5	-165	+145
20171025	Memphis	Dallas	+5	-190	+165
20171025	Washington	L.A. Lakers	+6	-245	+205
20171025	Houston	Philadelphia	+3.5	-150	+130
20171025	Cleveland	Brooklyn	+7	-270	+230
20171025	Indiana	Oklahoma City	-14.5	+850	-1300
20171025	Utah	Phoenix	+6	-210	+175
20171025	Toronto	Golden State	-12.5	+725	-925
20171026	Dallas	Memphis	-8	+280	-340
20171026	Atlanta	Chicago	-2.5	+125	-145
20171026	Boston	Milwaukee	-4.5	+155	-175
20171026	L.A. Clippers	Portland	-2	+110	-130
20171026	New Orleans	Sacramento	-2	+110	-130
20171027	San Antonio	Orlando	+5.5	-220	+180
20171027	Brooklyn	New York	-2	+120	-140
20171027	Oklahoma City	Minnesota	+2.5	-155	+135
20171027	Houston	Charlotte	+2.5	-140	+120
20171027	Denver	Atlanta	+8.5	-320	+260
