date,away,away_pts,home,home_pts
Sun Apr 1 2018,Orlando Magic,88,Atlanta Hawks,94
Sun Apr 1 2018,Detroit Pistons,108,Brooklyn Nets,96
Sun Apr 1 2018,Washington Wizards,94,Chicago Bulls,113
Sun Apr 1 2018,Philadelphia 76ers,119,Charlotte Hornets,102
Sun Apr 1 2018,Dallas Mavericks,87,Cleveland Cavaliers,98
Sun Apr 1 2018,Milwaukee Bucks,125,Denver Nuggets,128
Sun Apr 1 2018,Phoenix Suns,107,Golden State Warriors,117
Sun Apr 1 2018,Indiana Pacers,111,Los Angeles Clippers,104
Sun Apr 1 2018,Sacramento Kings,84,Los Angeles Lakers,83
Sun Apr 1 2018,Utah Jazz,121,Minnesota Timberwolves,97
Sun Apr 1 2018,Oklahoma City Thunder,109,New Orleans Pelicans,104
Sun Apr 1 2018,Memphis Grizzlies,98,Portland Trail Blazers,113
Sun Apr 1 2018,Houston Rockets,83,San Antonio Spurs,100
Tue Apr 3 2018,Charlotte Hornets,114,Chicago Bulls,120
Tue Apr 3 2018,Toronto Raptors,106,Cleveland Cavaliers,112
Tue Apr 3 2018,Portland Trail Blazers,109,Dallas Mavericks,115
Tue Apr 3 2018,Indiana Pacers,104,Denver Nuggets,107
Tue Apr 3 2018,Washington Wizards,104,Houston Rockets,120
Tue Apr 3 2018,San Antonio Spurs,110,Los Angeles Clippers,113
Tue Apr 3 2018,Atlanta Hawks,98,Miami Heat,101
Tue Apr 3 2018,Boston Celtics,102,Milwaukee Bucks,106
Tue Apr 3 2018,Orlando Magic,97,New York Knicks,73
Tue Apr 3 2018,Golden State Warriors,111,Oklahoma City Thunder,107
Tue Apr 3 2018,Brooklyn Nets,95,Philadelphia 76ers,121
Tue Apr 3 2018,Sacramento Kings,94,Phoenix Suns,97
Tue Apr 3 2018,Los Angeles Lakers,110,Utah Jazz,117
Wed Apr 4 2018,Miami Heat,115,Atlanta Hawks,86
Wed Apr 4 2018,Philadelphia 76ers,115,Detroit Pistons,108
Wed Apr 4 2018,San Antonio Spurs,112,Los Angeles Lakers,122
Wed Apr 4 2018,Memphis Grizzlies,95,New Orleans Pelicans,123
Wed Apr 4 2018,Dallas Mavericks,100,Orlando Magic,105
Wed Apr 4 2018,Boston Celtics,78,Toronto Raptors,96
Thu Apr 5 2018,Washington Wizards,115,Cleveland Cavaliers,119
Thu Apr 5 2018,Minnesota Timberwolves,96,Denver Nuggets,100
Thu Apr 5 2018,Portland Trail Blazers,94,Houston Rockets,96
Thu Apr 5 2018,Golden State Warriors,106,Indiana Pacers,126
Thu Apr 5 2018,Brooklyn Nets,119,Milwaukee Bucks,111
Thu Apr 5 2018,Los Angeles Clippers,95,Utah Jazz,117
Fri Apr 6 2018,Chicago Bulls,104,Boston Celtics,111
Fri Apr 6 2018,Dallas Mavericks,106,Detroit Pistons,113
Fri Apr 6 2018,Minnesota Timberwolves,113,Los Angeles Lakers,96
Fri Apr 6 2018,Sacramento Kings,94,Memphis Grizzlies,93
Fri Apr 6 2018,Miami Heat,98,New York Knicks,122
