date,away,away_pts,home,home_pts
Thu Feb 1 2018,Oklahoma City Thunder,124,Denver Nuggets,127
Thu Feb 1 2018,Memphis Grizzlies,102,Detroit Pistons,104
Thu Feb 1 2018,Milwaukee Bucks,89,Minnesota Timberwolves,108
Thu Feb 1 2018,Houston Rockets,102,San Antonio Spurs,91
Thu Feb 1 2018,Toronto Raptors,119,Washington Wizards,122
Fri Feb 2 2018,Atlanta Hawks,110,Boston Celtics,119
Fri Feb 2 2018,Los Angeles Lakers,102,Brooklyn Nets,99
Fri Feb 2 2018,Indiana Pacers,126,Charlotte Hornets,133
Fri Feb 2 2018,New York Knicks,90,Milwaukee Bucks,92
Fri Feb 2 2018,New Orleans Pelicans,114,Oklahoma City Thunder,100
Fri Feb 2 2018,Miami Heat,97,Philadelphia 76ers,103
Fri Feb 2 2018,Utah Jazz,129,Phoenix Suns,97
Fri Feb 2 2018,Golden State Warriors,119,Sacramento Kings,104
Fri Feb 2 2018,Portland Trail Blazers,105,Toronto Raptors,130
Sat Feb 3 2018,Houston Rockets,120,Cleveland Cavaliers,88
Sat Feb 3 2018,Golden State Warriors,108,Denver Nuggets,115
Sat Feb 3 2018,Miami Heat,107,Detroit Pistons,111
Sat Feb 3 2018,Philadelphia 76ers,92,Indiana Pacers,100
Sat Feb 3 2018,Chicago Bulls,103,Los Angeles Clippers,113
Sat Feb 3 2018,New Orleans Pelicans,107,Minnesota Timberwolves,118
Sat Feb 3 2018,Washington Wizards,115,Orlando Magic,98
Sat Feb 3 2018,Dallas Mavericks,106,Sacramento Kings,99
Sat Feb 3 2018,Utah Jazz,120,San Antonio Spurs,111
Sun Feb 4 2018,Portland Trail Blazers,96,Boston Celtics,97
Sun Feb 4 2018,Milwaukee Bucks,109,Brooklyn Nets,94
Sun Feb 4 2018,Atlanta Hawks,99,New York Knicks,96
Sun Feb 4 2018,Los Angeles Lakers,108,Oklahoma City Thunder,104
Sun Feb 4 2018,Charlotte Hornets,115,Phoenix Suns,110
Sun Feb 4 2018,Memphis Grizzlies,86,Toronto Raptors,101
Mon Feb 5 2018,Charlotte Hornets,104,Denver Nuggets,121
Mon Feb 5 2018,Portland Trail Blazers,91,Detroit Pistons,111
Mon Feb 5 2018,Washington Wizards,111,Indiana Pacers,102
Mon Feb 5 2018,Dallas Mavericks,101,Los Angeles Clippers,104
Mon Feb 5 2018,Orlando Magic,111,Miami Heat,109
Mon Feb 5 2018,Utah Jazz,133,New Orleans Pelicans,109
Mon Feb 5 2018,Chicago Bulls,98,Sacramento Kings,104
Tue Feb 6 2018,Memphis Grizzlies,82,Atlanta Hawks,108
Tue Feb 6 2018,Houston Rockets,123,Brooklyn Nets,113
Tue Feb 6 2018,Oklahoma City Thunder,125,Golden State Warriors,105
Tue Feb 6 2018,Phoenix Suns,93,Los Angeles Lakers,112
Tue Feb 6 2018,Milwaukee Bucks,103,New York Knicks,89
Tue Feb 6 2018,Cleveland Cavaliers,98,Orlando Magic,116
Tue Feb 6 2018,Washington Wizards,102,Philadelphia 76ers,115
Tue Feb 6 2018,Boston Celtics,91,Toronto Raptors,111
Wed Feb 7 2018,Minnesota Timberwolves,138,Cleveland Cavaliers,140
Wed Feb 7 2018,Brooklyn Nets,106,Detroit Pistons,115
Wed Feb 7 2018,Utah Jazz,92,Memphis Grizzlies,88
Wed Feb 7 2018,Houston Rockets,109,Miami Heat,101
Wed Feb 7 2018,San Antonio Spurs,129,Phoenix Suns,81
Thu Feb 8 2018,Dallas Mavericks,103,Golden State Warriors,121
Thu Feb 8 2018,Oklahoma City Thunder,81,Los Angeles Lakers,106
Thu Feb 8 2018,Atlanta Hawks,98,Orlando Magic,100
Thu Feb 8 2018,Charlotte Hornets,103,Portland Trail Blazers,109
Thu Feb 8 2018,New York Knicks,88,Toronto Raptors,113
Thu Feb 8 2018,Boston Celtics,110,Washington Wizards,104
Fri Feb 9 2018,Cleveland Cavaliers,123,Atlanta Hawks,107
Fri Feb 9 2018,Indiana Pacers,97,Boston Celtics,91
Fri Feb 9 2018,Minnesota Timberwolves,113,Chicago Bulls,114
Fri Feb 9 2018,Los Angeles Clippers,108,Detroit Pistons,95
Fri Feb 9 2018,Denver Nuggets,104,Houston Rockets,130
Fri Feb 9 2018,Milwaukee Bucks,85,Miami Heat,91
Fri Feb 9 2018,New Orleans Pelicans,82,Philadelphia 76ers,100
Fri Feb 9 2018,Portland Trail Blazers,118,Sacramento Kings,100
Fri Feb 9 2018,Charlotte Hornets,94,Utah Jazz,106
Sat Feb 10 2018,New Orleans Pelicans,138,Brooklyn Nets,128
Sat Feb 10 2018,Washington Wizards,101,Chicago Bulls,90
Sat Feb 10 2018,Los Angeles Lakers,123,Dallas Mavericks,130
Sat Feb 10 2018,San Antonio Spurs,105,Golden State Warriors,122
Sat Feb 10 2018,Milwaukee Bucks,111,Orlando Magic,104
Sat Feb 10 2018,Los Angeles Clippers,98,Philadelphia 76ers,112
Sat Feb 10 2018,Denver Nuggets,123,Phoenix Suns,113
Sun Feb 11 2018,Detroit Pistons,115,Atlanta Hawks,118
Sun Feb 11 2018,Cleveland Cavaliers,121,Boston Celtics,99
Sun Feb 11 2018,Toronto Raptors,123,Charlotte Hornets,103
Sun Feb 11 2018,Dallas Mavericks,97,Houston Rockets,104
Sun Feb 11 2018,New York Knicks,113,Indiana Pacers,121
Sun Feb 11 2018,Sacramento Kings,106,Minnesota Timberwolves,111
Sun Feb 11 2018,Memphis Grizzlies,92,Oklahoma City Thunder,110
Sun Feb 11 2018,Utah Jazz,115,Portland Trail Blazers,96
Mon Feb 12 2018,Los Angeles Clippers,114,Brooklyn Nets,101
Mon Feb 12 2018,Orlando Magic,101,Chicago Bulls,105
Mon Feb 12 2018,New Orleans Pelicans,118,Detroit Pistons,103
Mon Feb 12 2018,Phoenix Suns,83,Golden State Warriors,129
Mon Feb 12 2018,New York Knicks,92,Philadelphia 76ers,108
Mon Feb 12 2018,San Antonio Spurs,99,Utah Jazz,101
Tue Feb 13 2018,Sacramento Kings,114,Dallas Mavericks,109
Tue Feb 13 2018,San Antonio Spurs,109,Denver Nuggets,117
Tue Feb 13 2018,Atlanta Hawks,92,Milwaukee Bucks,97
Tue Feb 13 2018,Houston Rockets,126,Minnesota Timberwolves,108
Tue Feb 13 2018,Cleveland Cavaliers,120,Oklahoma City Thunder,112
Tue Feb 13 2018,Miami Heat,112,Toronto Raptors,115
Wed Feb 14 2018,Los Angeles Clippers,129,Boston Celtics,119
Wed Feb 14 2018,Indiana Pacers,108,Brooklyn Nets,103
